id,rank,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt5491994,1,Planet Earth II,Planet Earth II (2016),2016,"https://m.media-amazon.com/images/M/MV5BZWYxODViMGYtMGE2ZC00ZGQ3LThhMWUtYTVkNGE3OWU4NWRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX128_CR0,3,128,176_AL_.jpg","David Attenborough, Gordon Buchanan",9.5,109805
tt0795176,2,Planet Earth,Planet Earth (2006),2006,"https://m.media-amazon.com/images/M/MV5BNmZlYzIzMTItY2EzYS00YTEyLTg0ZjEtMDMzZjM3ODdhN2UzXkEyXkFqcGdeQXVyNjI0MDg2NzE@._V1_UX128_CR0,3,128,176_AL_.jpg","Sigourney Weaver, David Attenborough",9.4,177839
tt0903747,3,Breaking Bad,Breaking Bad (2008),2008,"https://m.media-amazon.com/images/M/MV5BOThjODMyM2QtNTNhYi00ZGM4LWIxZTAtMDAyYWNhYzYxMjJiXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UY176_CR0,0,128,176_AL_.jpg","Bryan Cranston, Aaron Paul",9.4,1658690
tt0185906,4,Band of Brothers,Band of Brothers (2001),2001,"https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_UX128_CR0,3,128,176_AL_.jpg","Scott Grimes, Damian Lewis",9.4,414122
tt7366338,5,Chernobyl,Chernobyl (2019),2019,"https://m.media-amazon.com/images/M/MV5BZGQ2YmMxZmEtYjI5OS00NzlkLTlkNTEtYWMyMzkyMzc2MDU5XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX128_CR0,3,128,176_AL_.jpg","Jessie Buckley, Jared Harris",9.3,650535
tt0306414,6,The Wire,The Wire (2002),2002,"https://m.media-amazon.com/images/M/MV5BNTllYzFhMjAtZjExNS00MjM4LWE5YmMtOGFiZGRlOTU5YzJiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX128_CR0,3,128,176_AL_.jpg","Dominic West, Lance Reddick",9.3,316554
tt6769208,7,Blue Planet II,Blue Planet II (2017),2017,"https://m.media-amazon.com/images/M/MV5BYjg2ODk0MjUtNmMzZS00MjY0LWI1YWMtN2JhMjRmZGUwY2I3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,1,128,176_AL_.jpg","David Attenborough, Peter Drost",9.3,38456
tt2395695,8,Cosmos: A Spacetime Odyssey,Cosmos: A Spacetime Odyssey (2014),2014,"https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","Neil deGrasse Tyson, Christopher Emerson",9.2,118068
tt9253866,9,Our Planet,Our Planet (2019),2019,"https://m.media-amazon.com/images/M/MV5BN2I1ZjA5YjQtYmQ0ZS00ZmE1LTk1ZjktNTQ5ODIzY2JiZDdhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX128_CR0,3,128,176_AL_.jpg",David Attenborough,9.2,40207
tt0417299,10,Avatar: The Last Airbender,Avatar: The Last Airbender (2005),2005,"https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_UX128_CR0,3,128,176_AL_.jpg","Dee Bradley Baker, Zach Tyler Eisen",9.2,286095
